C7–C5–O1–C12 (°),C8–C6–C11–O2 (°),Relative Energy (kcal/mol),Absolute Energy (Hartree)
269.99,0,0,-648.588614
279.99111111111114,0,0.5496984096389366,-648.587738
289.9922222222222,0,0.970757351174619,-648.587067
299.99333333333334,0,1.3058474775846727,-648.586533
309.99444444444447,0,1.6672930071995251,-648.585957
319.99555555555554,0,2.1322776208383245,-648.585216
329.99666666666667,0,2.676955953618596,-648.584348
339.9977777777778,0,3.2115941328242164,-648.583496
349.99888888888887,0,3.621985411186832,-648.582842
360,0,3.798943118439434,-648.58256
269.99,40,1.982302826388937,-648.585455
279.99111111111114,40,2.3186479719958224,-648.584919
289.9922222222222,40,2.4516800072166465,-648.584707
299.99333333333334,40,2.5138034576024793,-648.584608
309.99444444444447,40,2.6493455312169663,-648.584392
319.99555555555554,40,2.922939716839603,-648.583956
329.99666666666667,40,3.296935438422769,-648.58336
339.9977777777778,40,3.653988400777372,-648.582791
349.99888888888887,40,3.8522814343761076,-648.582475
360,40,3.8246710119744773,-648.582519
269.99,80,5.347636811181696,-648.580092
279.99111111111114,80,5.269825620835471,-648.580216
289.9922222222222,80,5.1600114408273665,-648.580391
299.99333333333334,80,5.075925154425645,-648.580525
309.99444444444447,80,5.104790596024107,-648.580479
319.99555555555554,80,5.277355736016459,-648.580204
329.99666666666667,80,5.544674825583599,-648.579778
339.9977777777778,80,5.802581271174505,-648.579367
349.99888888888887,80,5.9575761424112175,-648.57912
360,80,5.9720088631747785,-648.579097
269.99,120,3.3439986583752854,-648.583285
279.99111111111114,120,3.0540892231938406,-648.583747
289.9922222222222,120,2.990710753611177,-648.583848
299.99333333333334,120,3.0760520592097294,-648.583712
309.99444444444447,120,3.294425400029106,-648.583364
319.99555555555554,120,3.643948247202721,-648.582807
329.99666666666667,120,4.070654775195484,-648.582127
339.9977777777778,120,4.47665348636919,-648.58148
349.99888888888887,120,4.7797406231887045,-648.580997
360,120,,
269.99,160,0.5867214760168019,-648.587679
279.99111111111114,160,0.7266561168201988,-648.587456
289.9922222222222,160,0.9657372743872935,-648.587075
299.99333333333334,160,1.2512541423798285,-648.58662
309.99444444444447,160,1.627759902427997,-648.58602
319.99555555555554,160,2.1190999192002558,-648.585237
329.99666666666667,160,2.6863685975948317,-648.584333
339.9977777777778,160,,
349.99888888888887,160,,
360,160,,
269.99,200,1.2292913064352793,-648.586655
279.99111111111114,200,1.5913643455772077,-648.586078
289.9922222222222,200,1.7802447351997077,-648.585777
299.99333333333334,200,1.913276770420532,-648.585565
309.99444444444447,200,2.134160149633572,-648.585213
319.99555555555554,200,2.5106659096104007,-648.584613
329.99666666666667,200,,
339.9977777777778,200,,
349.99888888888887,200,,
360,200,,
269.99,240,4.221257079171948,-648.581887
279.99111111111114,240,4.1654087247702725,-648.581976
289.9922222222222,240,4.038024276006529,-648.582179
299.99333333333334,240,3.9420153072349096,-648.582332
309.99444444444447,240,3.9759008256206965,-648.582278
319.99555555555554,240,,
329.99666666666667,240,,
339.9977777777778,240,,
349.99888888888887,240,,
360,240,,
269.99,280,4.890809822393639,-648.58082
279.99111111111114,280,4.624745752023331,-648.581244
289.9922222222222,280,4.507401456834239,-648.581431
299.99333333333334,280,4.50426390877082,-648.581436
309.99444444444447,280,,
319.99555555555554,280,,
329.99666666666667,280,,
339.9977777777778,280,,
349.99888888888887,280,,
360,280,,
269.99,320,0.5961341199930372,-648.587664
279.99111111111114,320,0.7279111360170302,-648.587454
289.9922222222222,320,0.9920926775920921,-648.587033
299.99333333333334,320,,
309.99444444444447,320,,
319.99555555555554,320,,
329.99666666666667,320,,
339.9977777777778,320,,
349.99888888888887,320,,
360,320,,
269.99,360,0.004392567188909834,-648.588607
279.99111111111114,360,0.5496984096389366,-648.587738
289.9922222222222,360,,
299.99333333333334,360,,
309.99444444444447,360,,
319.99555555555554,360,,
329.99666666666667,360,,
339.9977777777778,360,,
349.99888888888887,360,,
360,360,,